s T
0 273.16    
12.952 274 
703.938 323.16    
1307.324 373.16    
1841.903 423.16   
2330.627 473.16   
2793.612 523.160  
3255.247 573.160 
3255.247 573.160   
3397.784 587.947
3547.415 602.734   
3710.150 617.522   
3903.569 632.309  
4195.199 645.596   
4207.399 645.846   
4220.701 646.096  
4251.475 646.596  
4406.962 647.096  
4612.571 646.596  
4653.991 646.096  
4671.868 645.846  
4688.309 645.596  
5070.305 632.309
5284.775 617.522 
5446.949 602.734   
5583.906 587.947  
5706.278 573.160
5706.278 573.160
6072.357 523.160
6430.425 473.16   
6837.342 423.16   
7354.438 373.16   
8075.246 323.16    
9133.906 274
