s T
0.013 0.850
0.163 10.850
0.307 20.850
0.446 30.850
0.581 40.850
0.712 50.850
0.838 60.850
0.961 70.850
1.081 80.850
1.198 90.850
1.311 100.850
1.422 110.850
1.531 120.850
1.637 130.850
1.741 140.850
1.843 150.850
1.943 160.850
2.042 170.850
2.139 180.850
2.235 190.850
2.330 200.850
2.424 210.850
2.517 220.850
2.610 230.850
2.702 240.850
2.794 250.850
2.887 260.850
2.980 270.850
3.075 280.850
3.122 285.829
5.815 285.829
5.860 290.850
5.940 300.850
6.010 310.850
6.073 320.850
6.130 330.850
6.184 340.850
6.235 350.850
6.282 360.850
6.328 370.850
6.371 380.850
6.413 390.850
6.454 400.850
6.493 410.850
6.531 420.850
6.567 430.850
6.603 440.850
6.638 450.850
6.672 460.850
6.706 470.850
6.739 480.850
6.771 490.850
6.803 500.850
6.834 510.850
6.864 520.850
6.894 530.850
6.924 540.850
6.953 550.850
6.982 560.850
7.010 570.850
7.038 580.850
7.066 590.850
7.093 600.850
7.120 610.850
7.147 620.850
