s T
0 0.000
0.013 0.850
0.379 25.850
0.715 50.850
1.026 75.850
1.317 100.850
1.591 125.850
1.850 150.850
2.099 175.850
2.339 200.850
2.572 225.850
2.801 250.850
3.030 275.850
3.263 300.850
3.509 325.850
3.509 325.850
3.610 335.469
3.719 345.088
3.840 354.708
3.989 364.327
4.197 372.446
4.210 372.696
4.224 372.946
4.258 373.446
4.296 373.846
4.308 373.936
4.407 373.946
4.531 373.936
4.545 373.846
4.598 373.446
4.645 372.946
4.664 372.696
4.682 372.446
4.966 364.327
5.143 354.708
5.275 345.088
5.386 335.469
5.483 325.850
5.483 325.850
5.699 300.850
5.888 275.850
6.066 250.850
6.242 225.850
6.424 200.850
6.617 175.850
6.830 150.850
7.068 125.850
7.344 100.850
7.669 75.850
8.060 50.850
8.539 25.850
9.133 0.850
