s T
0.013 0.850
0.164 10.850
0.309 20.850
0.448 30.850
0.476 32.874
8.394 32.874
8.443 40.850
8.503 50.850
8.560 60.850
8.616 70.850
8.670 80.850
8.723 90.850
8.774 100.850
8.825 110.850
8.873 120.850
8.921 130.850
8.968 140.850
9.014 150.850
9.058 160.850
9.102 170.850
9.145 180.850
9.187 190.850
9.229 200.850
9.269 210.850
9.309 220.850
9.348 230.850
9.387 240.850
9.425 250.850
9.462 260.850
9.499 270.850
9.535 280.850
9.571 290.850
9.606 300.850
9.640 310.850
9.674 320.850
9.708 330.850
9.741 340.850
9.774 350.850
9.806 360.850
9.838 370.850
9.870 380.850
9.901 390.850
9.932 400.850
9.962 410.850
9.993 420.850
10.022 430.850
10.052 440.850
10.081 450.850
10.110 460.850
10.138 470.850
10.166 480.850
10.194 490.850
10.222 500.850
10.249 510.850
10.277 520.850
10.303 530.850
10.330 540.850
10.357 550.850
10.383 560.850
10.409 570.850
10.434 580.850
10.460 590.850
10.485 600.850
10.510 610.850
10.535 620.850
