s T
0.4761 32.874
0.576 40.850
0.705 50.850
0.831 60.850
0.954 70.850
1.073 80.850
1.189 90.850
1.302 100.850
1.412 110.850
1.520 120.850
1.625 130.850
1.728 140.850
1.829 150.850
1.929 160.850
2.026 170.850
2.122 180.850
2.217 190.850
2.311 200.850
2.403 210.850
2.494 220.850
2.585 230.850
2.675 240.850
2.765 250.850
2.854 260.850
2.944 270.850
3.034 280.850
3.125 290.850
3.217 300.850
3.311 310.850
3.408 320.850
3.509 330.850
3.618 340.850
3.740 350.850
3.895 360.850
3.962 363.946
3.989 364.946
4.931 365.749
4.931 365.749
4.945 365.946
5.000 366.946
5.042 367.946
5.077 368.946
5.108 369.946
5.133 370.850
5.136 370.946
5.161 371.946
5.184 372.946
5.206 373.946
5.226 374.946
5.246 375.946
5.264 376.946
5.281 377.946
5.298 378.946
5.314 379.946
5.328 380.850
5.329 380.946
5.344 381.946
5.359 382.946
5.372 383.946
5.386 384.946
5.399 385.946
5.412 386.946
5.424 387.946
5.436 388.946
5.448 389.946
5.458 390.850
5.459 390.946
5.470 391.946
5.481 392.946
5.492 393.946
5.561 400.850
5.647 410.850
5.722 420.850
5.790 430.850
5.852 440.850
5.909 450.850
5.962 460.850
6.012 470.850
6.060 480.850
6.105 490.850
6.148 500.850
6.190 510.850
6.230 520.850
6.268 530.850
6.306 540.850
6.342 550.850
6.377 560.850
6.412 570.850
6.445 580.850
6.478 590.850
6.508 600

