s	T
0.504790789045707	35
0.591985298019399	41.5
0.677415234655197	48
0.76116704518814	54.5
0.843319706219514	61
0.923946722479982	67.5
1.00311746821384	74
1.08089808055702	80.5
1.15735205198351	87
1.23254062552421	93.5
1.30652306517474	100
1.39489921141754	107.9
1.48167850179265	115.8
1.56695772240463	123.7
1.65083081366487	131.6
1.73338924863572	139.5
1.81472245718615	147.4
1.89491830986367	155.3
1.9740636739038		163.2
2.05224505585373	171.1
2.12954935040209	179
2.12964668519274	179.01
2.12974401871918	179.02
2.12984135098158	179.03
2.1299386819801		179.04
6.59166009460449	179.05
6.59171982032102	179.06
6.59177953907032	179.07
6.59183925085762	179.08
6.5918989556881		179.09
6.59195865356696	179.1
6.59730362969555	180
6.65372879202958	190
6.70626761259566	200
6.75605299469023	210
6.80364625906034	220
6.84940191104195	230
6.89357589220133	240
6.93636523605006	250
6.97792670273717	260
7.01838758093795	270
7.05785282128533	280
7.05785282128533	280
7.1040193016774		292
7.1490037663304		304
7.19291085952494	316
7.23582857509379	328
7.27783184938289	340
7.31898523893436	352
7.35934494278027	364
7.39896034887174	376
7.43787523060064	388
7.47612868298965	400

