s T
0.013 0.850
0.163 10.850
0.308 20.850
0.447 30.850
0.582 40.850
0.712 50.850
0.839 60.850
0.963 70.850
1.082 80.850
1.199 90.850
1.313 100.850
1.424 110.850
1.533 120.850
1.639 130.850
1.743 140.850
1.845 150.850
1.946 160.850
2.045 170.850
2.142 180.850
2.238 190.850
2.333 200.850
2.427 210.850
2.521 220.850
2.614 230.850
2.706 240.850
2.799 250.850
2.892 260.850
2.921 263.941
3.076 280.850
3.169 290.850
3.195 293.600
5.755 293.600
5.850 304.470
5.931 315.340
6.027 326.210
6.096 337.080
6.159 347.950
6.216 358.820
6.269 369.690
6.319 380.560
6.367 391.430
6.412 402.300
6.455 413.170
6.497 424.040
6.537 434.910
6.576 445.780
6.614 456.650
6.651 467.520
6.687 478.390
6.723 489.260
6.733 500.000
6.888 554.000
