s T
0.013 0.850
0.164 10.850
0.308 20.850
0.448 30.850
0.583 40.850
0.714 50.850
0.841 60.850
0.965 70.850
1.085 80.850
1.202 90.850
1.316 100.850
1.427 110.850
1.536 120.850
1.643 130.850
1.747 140.850
1.850 150.850
1.951 160.850
2.050 170.850
2.138 179.878
6.585 179.878
6.591 180.850
6.647 190.850
6.700 200.850
6.750 210.850
6.797 220.850
6.843 230.850
6.887 240.850
6.930 250.850
6.972 260.850
7.012 270.850
7.052 280.850
7.090 290.850
7.128 300.850
7.165 310.850
7.201 320.850
7.237 330.850
7.271 340.850
7.306 350.850
7.340 360.850
7.373 370.850
7.406 380.850
7.438 390.850
7.470 400.850
7.501 410.850
7.532 420.850
