s T
0.013 0.850
0.163 10.850
0.308 20.850
0.447 30.850
0.582 40.850
0.712 50.850
0.839 60.850
0.963 70.850
1.082 80.850
1.199 90.850
1.313 100.850
1.424 110.850
1.533 120.850
1.639 130.850
1.743 140.850
1.845 150.850
1.946 160.850
2.045 170.850
2.142 180.850
2.238 190.850
2.333 200.850
2.427 210.850
2.521 220.850
2.614 230.850
2.706 240.850
2.799 250.850
2.892 260.850
2.921 263.941
5.974 263.941
6.027 270.850
6.096 280.850
6.159 290.850
6.216 300.850
6.269 310.850
6.319 320.850
6.367 330.850
6.412 340.850
6.455 350.850
6.497 360.850
6.537 370.850
6.576 380.850
6.614 390.850
6.651 400.850
6.687 410.850
6.723 420.850
