v p
0.001028 330.960000
0.001033 214.026800
0.001037 138.407880
0.001039 89.506274
0.001041 57.882347
0.001042 37.431634
0.001042 24.206469
0.001043 15.653956
0.001043 10.123175
0.001043 6.546504
0.001043 4.233524
0.001043 2.737756
0.001043 1.770465
0.001043 1.144933
0.001043 1.014180
1.672373 1.014180
2.300007 0.740411
3.571110 0.478812
5.536377 0.309641
8.575179 0.200240
13.274108 0.129492
20.540213 0.083741
31.776095 0.054154
49.150651 0.035020
76.017748 0.022647
117.563630 0.014646
181.808020 0.009471
