v p
0.001000 0.006125
0.001005 0.049936
0.001027 0.407126
0.001077 3.319306
0.001206 27.062367
0.001206 27.062367
0.001338 65.777894
0.001469 104.493420
0.001624 143.208950
0.001855 181.924470
0.001855 181.924470
0.001923 189.667580
0.002007 197.410680
0.002115 205.153790
0.002398 216.227200
0.002527 218.433600
0.002530 218.433600
0.002630 219.536800
0.002636 219.536800
0.003106 220.640000
0.004322 216.227200
0.005433 205.153790
0.006077 197.410680
0.006705 189.667580
0.007341 181.924470
0.007341 181.924470
0.011103 143.208950
0.017069 104.493420
0.029339 65.777894
0.073897 27.062367
0.073897 27.062367
0.550922 3.319306
3.927482 0.407126
28.219580 0.049936
205.991040 0.006125
