T c_p
300.0 1045.11
325.0 1050.78
350.0 1056.60
375.0 1062.52
400.0 1068.51
425.0 1074.53
450.0 1080.53
475.0 1086.51
500.0 1092.42
525.0 1098.26
550.0 1104.00
575.0 1109.62
600.0 1115.13
625.0 1120.50
650.0 1125.74
675.0 1130.84
700.0 1135.79
725.0 1140.60
750.0 1145.27
775.0 1149.79
800.0 1154.16
825.0 1158.40
850.0 1162.50
875.0 1166.46
900.0 1170.29
925.0 1173.99
950.0 1177.57
975.0 1181.03
1000.0 1184.37
1025.0 1187.60
1050.0 1190.72
1075.0 1193.73
1100.0 1196.65
1125.0 1199.46
1150.0 1202.19
1175.0 1204.82
1200.0 1207.37
